0	-2	-2	-2.22837	-2.2402
0	-2	-1	-2.01033	-0.537776
0	-2	0	-2.39657	-0.0769399
0	-2	1	-2.12868	1.34511
0	-2	2	-1.95184	1.50513
0	-1	-2	-1.2894	-1.88541
0	-1	-1	-1.14046	-0.740079
0	-1	0	-0.512555	0.495332
0	-1	1	-0.948614	0.64371
0	-1	2	-1.1645	2.19545
0	0	-2	-0.232337	-1.88421
0	0	-1	0.0261568	-1.38315
0	0	0	0.338014	0.00928123
0	0	1	-0.0103216	0.524898
0	0	2	-0.258419	1.74514
0	1	-2	0.647455	-2.22357
0	1	-1	1.39682	-0.689253
0	1	0	0.731314	0.199224
0	1	1	1.36363	1.45098
0	1	2	0.645986	2.07977
0	2	-2	1.69869	-2.17581
0	2	-1	2.32402	-1.12861
0	2	0	1.51138	-0.279596
0	2	1	2.41331	0.570632
0	2	2	1.60921	1.9397
1	3	-2	3.47229	-2.14151
1	3	-1	2.67158	-0.751529
1	3	0	3.05387	0.354212
1	3	1	3.24126	0.914796
1	3	2	3.02889	1.59814
2	4	-2	3.99401	-1.73629
2	4	-1	4.23715	-1.18827
2	4	0	3.71454	0.210593
2	4	1	4.43337	0.685602
2	4	2	3.96535	1.71436
3	5	-2	5.2267	-1.79527
3	5	-1	4.84486	-1.49089
3	5	0	4.60834	0.40166
3	5	1	4.69164	1.32454
3	5	2	5.48737	2.2785
4	6	-2	5.81916	-2.36057
4	6	-1	5.83029	-1.38909
4	6	0	5.56522	-0.333775
4	6	1	6.23921	1.4692
4	6	2	5.84408	2.48084
5	7	-2	6.51932	-1.8208
5	7	-1	6.78708	-0.583196
5	7	0	7.23138	-0.153457
5	7	1	7.34905	1.40027
5	7	2	7.32599	1.86342
6	3	3	2.53114	2.9337
6	4	3	3.63357	3.33177
6	5	3	4.63636	3.33214
6	6	3	6.31037	3.34115
6	7	3	6.64751	2.6629
7	3	4	3.28747	4.45878
7	4	4	3.65581	4.1459
7	5	4	4.61587	3.94577
7	6	4	5.55893	3.954
7	7	4	7.20327	4.31041
8	3	5	2.7875	4.51404
8	4	5	4.43303	4.9545
8	5	5	5.29402	4.5571
