00000001	0.00000000	[9020] aA	
00000002	0.00093789	[9020]  0.56,0.33,0.96	
00000003	0.00112768	[9020]  0.02,0.53,0.51	
00000004	0.00127195	[9020]  0.48,0.25,0.56	
00000005	0.00141468	[9020]  0.81,0.54,0.99	
00000006	0.00155664	[9020]  0.74,0.78,0.77	
00000007	0.00172042	[9020]  0.57,0.52,0.31	
00000008	0.00185282	[9020]  0.01,0.93,0.06	
00000009	0.00198636	[9020]  0.72,0.15,0.04	
00000010	0.00212029	[9020]  0.45,0.42,0.81	
00000011	0.00225307	[9020]  0.66,0.28,0.41	
00000012	0.00238624	[9020]  0.75,0.60,0.38	
00000013	0.00252017	[9020]  0.80,0.04,0.52	
00000014	0.00265448	[9020]  0.03,0.06,0.89	
00000015	0.00278802	[9020]  0.78,0.32,0.41	
00000016	0.00292157	[9020]  0.57,0.10,0.60	
00000017	0.00305627	[9020]  0.08,0.17,0.09	
00000018	0.00318981	[9020]  0.25,0.37,0.34	
00000019	0.00332374	[9020]  0.13,0.04,0.14	
00000020	0.00345691	[9020]  0.56,0.71,0.24	
00000021	0.00359007	[9020]  0.54,0.64,0.38	
00000022	0.00372400	[9020]  0.07,0.17,0.27	
00000023	0.00385869	[9020]  0.99,0.06,0.22	
00000024	0.00399224	[9020]  0.25,0.41,0.63	
00000025	0.00412655	[9020]  0.32,0.46,0.80	
00000026	0.00425972	[9020]  0.30,0.20,0.21	
00000027	0.00439365	[9020]  0.04,0.87,0.90	
00000028	0.00452719	[9020]  0.53,0.60,0.75	
00000029	0.00466112	[9020]  0.26,0.02,0.54	
00000030	0.00479467	[9020]  0.41,0.90,0.97	
00000031	0.00492821	[9020]  0.95,0.45,0.56	
00000032	0.00506367	[9020]  0.92,0.06,0.22	
00000033	0.00519684	[9020]  0.12,0.11,0.86	
00000034	0.00533077	[9020]  0.59,1.00,0.86	
00000035	0.00546393	[9020]  0.36,0.87,0.31	
00000036	0.00559710	[9020]  0.72,0.62,0.33	
00000037	0.00573102	[9020]  0.52,0.03,0.84	
00000038	0.00586419	[9020]  0.26,0.32,0.49	
00000039	0.00599773	[9020]  0.49,0.46,0.05	
00000040	0.00613319	[9020]  0.86,0.10,0.78	
00000041	0.00626636	[9020]  0.72,0.57,0.43	
00000042	0.00639991	[9020]  0.20,0.33,0.28	
00000043	0.00653345	[9020]  0.16,0.45,0.33	
00000044	0.00666662	[9020]  0.37,0.58,0.37	
00000045	0.00680093	[9020]  0.86,0.07,0.79	
00000046	0.00693639	[9020]  0.68,0.06,0.04	
00000047	0.00708371	[9020]  0.63,0.30,0.73	
00000048	0.00721840	[9020]  0.14,0.52,0.87	
00000049	0.00735310	[9020]  0.08,0.56,0.29	
00000050	0.00748703	[9020]  0.88,0.24,0.66	
00000051	0.00762057	[9020]  0.42,0.91,0.23	
00000052	0.00775412	[9020]  0.49,0.83,0.62	
00000053	0.00788843	[9020]  0.46,0.44,0.08	
00000054	0.00804570	[9020]  0.52,0.98,0.97	
00000055	0.00818767	[9020]  0.27,0.58,0.61	
00000056	0.00832236	[9020]  0.23,0.23,0.38	
00000057	0.00845668	[9020]  0.90,0.81,0.03	
00000058	0.00859061	[9020]  0.91,0.45,0.86	
00000059	0.00872415	[9020]  0.60,0.25,0.60	
