-0.001257	0.000000	0.999999	-0.125664	-0.000000	-1.000000	0.000000	-0.000000	0.999999	0.000000	0.001257	99.999921	0.000000	0.000000	0.000000	1.000000
-0.002493	0.125333	0.992112	-0.249345	-0.000315	-0.992115	0.125333	-0.031500	0.999997	0.000000	0.002513	99.999684	0.000000	0.000000	0.000000	1.000000
-0.003651	0.248690	0.968576	-0.365146	-0.000938	-0.968583	0.248688	-0.093754	0.999993	-0.000000	0.003770	99.999289	0.000000	0.000000	0.000000	1.000000
-0.004674	0.368125	0.929765	-0.467355	-0.001850	-0.929776	0.368120	-0.185039	0.999987	0.000000	0.005027	99.998737	0.000000	0.000000	0.000000	1.000000
-0.005506	0.481754	0.876289	-0.550596	-0.003027	-0.876307	0.481744	-0.302693	0.999980	0.000000	0.006283	99.998026	0.000000	0.000000	0.000000	1.000000
-0.006100	0.587785	0.808994	-0.609979	-0.004432	-0.809017	0.587769	-0.443175	0.999972	-0.000000	0.007540	99.997158	0.000000	0.000000	0.000000	1.000000
-0.006412	0.684547	0.728940	-0.641226	-0.006022	-0.728969	0.684521	-0.602151	0.999961	0.000000	0.008796	99.996131	0.000000	0.000000	0.000000	1.000000
-0.006408	0.770513	0.637392	-0.640798	-0.007746	-0.637424	0.770474	-0.774591	0.999949	0.000000	0.010053	99.994947	0.000000	0.000000	0.000000	1.000000
-0.006060	0.844328	0.535793	-0.605993	-0.009549	-0.535827	0.844274	-0.954892	0.999936	0.000000	0.011309	99.993605	0.000000	0.000000	0.000000	1.000000
-0.005350	0.904827	0.425746	-0.535036	-0.011370	-0.425779	0.904756	-1.137009	0.999921	-0.000000	0.012566	99.992104	0.000000	0.000000	0.000000	1.000000
-0.004271	0.951057	0.308987	-0.427141	-0.013146	-0.309017	0.950966	-1.314604	0.999904	0.000000	0.013823	99.990446	0.000000	0.000000	0.000000	1.000000
-0.002826	0.982287	0.187360	-0.282554	-0.014812	-0.187381	0.982176	-1.481198	0.999886	0.000000	0.015079	99.988630	0.000000	0.000000	0.000000	1.000000
-0.001026	0.998027	0.062782	-0.102572	-0.016303	-0.062791	0.997894	-1.630332	0.999867	0.000000	0.016336	99.986657	0.000000	0.000000	0.000000	1.000000
0.001105	0.998027	-0.062781	0.110461	-0.017557	0.062791	0.997872	-1.755730	0.999845	-0.000000	0.017592	99.984525	0.000000	0.000000	0.000000	1.000000
