-0.34175,1.0998,0.97481
0.18275,0.78788,1.3637
-0.070745,0.80744,0.88502
-0.64725,0.98088,1.0087
-0.60039,0.71603,1.2064
-0.1531,0.45741,1.0169
0.21003,0.24008,1.6267
0.02406,0.31834,0.58815
-0.2327,0.97204,1.081
-0.15478,0.60953,0.78772
-0.35868,0.43879,0.98725
-0.20578,0.75712,0.52608
0.21666,1.2952,1.0462
-0.26418,0.55356,0.7531
-0.08666,0.87379,0.72353
0.48706,0.53915,0.97847
0.15302,0.62574,1.0801
0.47955,0.61563,0.84862
-0.20129,0.32864,1.1618
-0.21205,0.47903,1.1416
0.41268,0.69438,1.0138
-0.22242,0.42365,0.39379
0.0048175,0.87496,1.1566
-0.14434,0.98154,1.1922
0.24824,0.56252,0.89581
-0.16035,0.99277,1.6911
-0.3455,0.82225,1.1723
0.21821,0.93169,0.82807
-0.48989,0.94104,1.5194
-0.52339,0.5966,0.78863
-0.16808,0.44693,0.42995
0.14154,1.2224,1.0229
-0.62823,0.75605,1.4784
-0.14475,0.38892,1.4157
-0.3148,0.39173,1.0112
-0.12532,1.1208,0.72813
0.098264,0.77929,1.0605
0.050988,0.27121,0.973
-0.38703,0.94357,0.58834
-0.34306,0.4947,0.98841
0.23903,0.60847,1.0643
0.19102,0.62094,1.1973
-0.04623,0.5413,1.1849
-0.38851,0.96557,0.56782
0.093028,0.35691,0.53369
-0.28452,0.88631,0.86897
-0.068899,1.0739,1.3499
0.222,0.55955,1.324
-0.41339,0.77748,0.67278
-0.17648,0.28229,1.4058
-0.36259,0.63931,1.3596
0.074665,0.30831,0.9797
-0.60853,0.87644,1.5251
-0.078525,0.78362,1.2797
0.20922,0.72487,0.98853
-0.41062,0.0053904,1.0198
-0.62292,0.86631,0.85591
-0.18302,0.80573,0.82542
-0.42735,0.82492,1.5698
-0.086447,0.76027,0.72573
-0.087019,0.16369,0.90609
-0.87535,0.72924,1.2947
0.12103,0.63487,1.4092
-0.35572,0.80102,1.1775
0.05409,0.37502,1.0302
-0.43624,0.8654,1.1166
-0.58439,0.8402,1.4343
-0.026072,1.0207,1.1693
0.14373,1.0926,1.1154
0.28511,0.7366,1.2704
0.18303,1.0402,1.1686
-0.037244,0.77999,1.1358
-0.48156,0.59694,1.0281
0.010182,0.54816,1.1663
-0.30153,0.83905,0.94199
-0.5692,0.069771,1.0386
0.027827,0.24356,0.74507
-0.18321,0.7312,0.97631
0.0078625,0.76183,1.2432
-0.17947,0.79069,0.58775
-0.43547,0.81081,0.66327
-0.46545,1.0668,0.62565
-0.26103,1.1645,0.76119
-0.64609,0.81492,1.362
-0.32559,0.79792,0.47403
-0.46195,0.9181,1.4497
0.15936,0.3707,1.1337
-0.026139,0.6172,0.65737
0.19831,0.30469,1.1041
-0.3266,0.6119,1.0872
0.25939,1.1434,1.0325
-0.62708,0.047908,1.1256
0.019744,0.61245,1.3478
-0.056672,0.2801,0.91351
-0.12981,0.38446,1.4189
-0.35555,0.92369,0.79934
0.031066,0.6973,1.605
0.1221,1.0764,1.2197
-0.76189,0.48453,1.2069
0.089174,1.2115,1.159
